Index,Property,Unit,Sq Ft,Bed Rooms,Program,Contract No.,Market Rent,Gross Rent,Contract Rent,RD Basic Rent,Subsidy,Tenant Rent,Utility Allowance,Optional Charges,TTP,Utility Reim.
33,Casa Pasiva LLC  (104casa),110-2F  ,675,2,,,1015.55,364,0,0,0,364,42,0,0,0
34,Casa Pasiva LLC  (104casa),110-3A  ,715,2,,,1011.19,127,0,0,0,127,42,0,0,0
35,Casa Pasiva LLC  (104casa),110-3B  ,665,2,,,897.75,897.75,0,0,0,897.75,110,0,0,0
36,Casa Pasiva LLC  (104casa),110-3C  ,694,2,,,777.11,169,0,0,0,169,42,0,0,0
37,Casa Pasiva LLC  (104casa),110-3D  ,690,2,,,1185.96,567,0,0,0,567,42,0,0,0
38,Casa Pasiva LLC  (104casa),110-3E  ,861,3,,,1533,1533,0,0,0,1533,161,0,0,0
39,Casa Pasiva LLC  (104casa),110-3F  ,675,2,,,914.23,719,0,0,0,719,42,0,0,0
40,Casa Pasiva LLC  (104casa),110-4A  ,715,2,,,793.61,911.17,0,0,0,911.17,42,0,0,0
41,Casa Pasiva LLC  (104casa),110-4B  ,665,2,,,1299.65,1299.65,0,0,0,1299.65,42,0,0,0
42,Casa Pasiva LLC  (104casa),110-4C  ,694,2,,,1127.47,1138.74,0,0,0,1138.74,42,0,0,0
43,Casa Pasiva LLC  (104casa),110-4D  ,690,2,,,1684.36,40,0,0,0,40,42,0,0,0
44,Casa Pasiva LLC  (104casa),110-4E  ,861,3,Tax Credit,,1563.91,1380.35,0,0,0,1325.35,55,0,1380.35,0
45,Casa Pasiva LLC  (104casa),110-4F  ,675,2,,,0,173,0,0,0,173,42,0,0,0
46,Riseboro TPX LLC (111lind),111-01  ,0,0,,,768.75,807.19,0,0,0,807.19,0,0,0,0
47,Riseboro TPX LLC (111lind),111-02  ,0,1,,,1000,1050.63,0,0,0,1050.63,0,0,0,0
48,Riseboro TPX LLC (111lind),111-03  ,0,0,,,450,472.78,0,0,0,472.78,0,0,0,0
49,Riseboro TPX LLC (111lind),111-04  ,0,0,,,0,866.77,0,0,0,866.77,0,0,0,0
50,Riseboro TPX LLC (111lind),111-05  ,0,0,,,0,1260.75,0,0,0,1260.75,0,0,0,0
51,Riseboro TPX LLC (111lind),111-06  ,0,0,,,0,0,0,0,0,0,0,0,0,0
52,Riseboro TPX LLC (111lind),111-07  ,0,0,,,0,780.28,0,0,0,780.28,0,0,0,0
53,Riseboro TPX LLC (111lind),111-08  ,0,0,,,600,630.38,0,0,0,630.38,0,0,0,0
54,Riseboro TPX LLC (111lind),111-09  ,0,0,,,0,630.38,0,0,0,630.38,0,0,0,0
55,Riseboro TPX LLC (111lind),111-10  ,0,0,,,0,787.97,0,0,0,787.97,0,0,0,0
56,Riseboro TPX LLC (111lind),111-11  ,0,0,,,0,512.5,0,0,0,512.5,0,0,0,0
57,Riseboro TPX LLC (111lind),111-12  ,0,0,,,0,1365.81,0,0,0,1365.81,0,0,0,0
58,Riseboro TPX LLC (111lind),111-14  ,0,0,,,0,787.97,0,0,0,787.97,0,0,0,0
59,Riseboro TPX LLC (111lind),111-15  ,0,0,,,0,900,0,0,0,900,0,0,0,0
60,Riseboro TPX LLC (111lind),111-16  ,0,0,,,0,0,0,0,0,0,0,0,0,0
61,Riseboro TPX LLC (111lind),111-17  ,0,0,,,0,509.03,0,0,0,509.03,0,0,0,0
62,Riseboro TPX LLC (111lind),111-18  ,0,0,,,825,825,0,0,0,825,0,0,0,0
63,Riseboro TPX LLC (115lind),115-01  ,0,0,,,0,0,0,0,0,0,0,0,0,0
64,Riseboro TPX LLC (115lind),115-02  ,0,0,,,0,0,0,0,0,0,0,0,0,0
65,Riseboro TPX LLC (115lind),115-03  ,0,0,,,0,0,0,0,0,0,0,0,0,0
66,Riseboro TPX LLC (115lind),115-04  ,0,0,,,0,0,0,0,0,0,0,0,0,0
67,Riseboro TPX LLC (115lind),115-05  ,0,0,,,0,0,0,0,0,0,0,0,0,0
68,Riseboro TPX LLC (115lind),115-06  ,0,0,,,0,0,0,0,0,0,0,0,0,0
69,Riseboro TPX LLC (115lind),115-07  ,0,0,,,0,0,0,0,0,0,0,0,0,0
70,Riseboro TPX LLC (115lind),115-08  ,0,0,,,0,0,0,0,0,0,0,0,0,0
71,Riseboro TPX LLC (115lind),115-09  ,0,0,,,0,0,0,0,0,0,0,0,0,0
72,Riseboro TPX LLC (115lind),115-10  ,0,0,,,0,0,0,0,0,0,0,0,0,0
73,Riseboro TPX LLC (115lind),115-11  ,0,0,,,0,0,0,0,0,0,0,0,0,0
74,Riseboro TPX LLC (115lind),115-12  ,0,0,,,0,0,0,0,0,0,0,0,0,0
75,Riseboro TPX LLC (115lind),115-14  ,0,0,,,0,0,0,0,0,0,0,0,0,0
76,Riseboro TPX LLC (115lind),115-15  ,0,0,,,0,0,0,0,0,0,0,0,0,0
77,Riseboro TPX LLC (115lind),115-16  ,0,0,,,0,0,0,0,0,0,0,0,0,0
78,Riseboro TPX LLC (115lind),115-17  ,0,0,,,0,0,0,0,0,0,0,0,0,0
79,Riseboro TPX LLC (115lind),115-18  ,0,0,,,0,0,0,0,0,0,0,0,0,0
80,Casa Pasiva LLC  (120casa),116-01  ,391,1,,,708.48,770.12,0,0,0,770.12,0,0,0,0
81,Casa Pasiva LLC  (120casa),116-02  ,381,1,,,946.05,946.05,0,0,0,946.05,0,0,0,0
82,Casa Pasiva LLC  (120casa),116-03  ,560,2,,,1007.53,1116.37,0,0,0,1116.37,0,0,0,0
83,Casa Pasiva LLC  (120casa),116-04  ,576,2,Tax Credit,,1003.18,1003.18,0,0,0,1003.18,0,0,1003.18,0
84,Casa Pasiva LLC  (120casa),116-05  ,567,2,,,1732,0,0,0,0,0,0,0,0,0
85,Casa Pasiva LLC  (120casa),116-06  ,577,2,,,844.76,171,0,0,0,171,0,0,0,0
86,Casa Pasiva LLC  (120casa),116-07  ,497,2,,,894.94,926.48,0,0,0,926.48,0,0,0,0
87,Casa Pasiva LLC  (120casa),116-08  ,500,2,,,551.17,598,0,0,0,598,0,0,0,0
88,Casa Pasiva LLC  (120casa),116-09  ,567,2,,,1287.23,311,0,0,0,311,0,0,0,0
89,Casa Pasiva LLC  (120casa),116-10  ,577,2,Tax Credit,,1100.45,969,0,0,0,969,0,0,969,0
90,Casa Pasiva LLC  (120casa),116-11  ,497,2,,,738.29,835.16,0,0,0,835.16,0,0,0,0
91,Casa Pasiva LLC  (120casa),116-12  ,500,2,,,1104.37,25,0,0,0,25,0,0,0,0
92,Casa Pasiva LLC  (120casa),116-12A ,567,2,,,377,919,0,0,0,919,0,0,0,0
93,Casa Pasiva LLC  (120casa),116-14  ,577,2,,,855.21,0,0,0,0,0,0,0,0,0
94,Casa Pasiva LLC  (120casa),116-15  ,497,2,,,683.04,895.85,0,0,0,895.85,0,0,0,0
95,Casa Pasiva LLC  (120casa),116-16  ,500,2,Tax Credit,,1248.98,1119,0,0,0,1119,0,0,1119,0
96,Casa Pasiva LLC  (120casa),120-01  ,391,1,,,943.62,1008.9,0,0,0,1008.9,0,0,0,0
97,Casa Pasiva LLC  (120casa),120-02  ,381,1,,,780.46,491,0,0,0,491,0,0,0,0
98,Casa Pasiva LLC  (120casa),120-03  ,560,2,,,819.17,1016.96,0,0,0,1016.96,0,0,0,0
99,Casa Pasiva LLC  (120casa),120-04  ,576,2,Tax Credit,,1039.02,1118.01,0,0,0,1039.01,79,0,1118.01,0
100,Casa Pasiva LLC  (120casa),120-05  ,567,2,,,945.3,1025.64,0,0,0,1025.64,0,0,0,0
101,Casa Pasiva LLC  (120casa),120-06  ,577,2,,,911.25,911.25,0,0,0,911.25,0,0,0,0
102,Casa Pasiva LLC  (120casa),120-07  ,497,2,,,897.48,496.61,0,0,0,496.61,0,0,0,0
103,Casa Pasiva LLC  (120casa),120-08  ,500,2,,,825.94,644,0,0,0,644,0,0,0,0
104,Casa Pasiva LLC  (120casa),120-09  ,567,2,,,844.12,585,0,0,0,585,0,0,0,0
105,Casa Pasiva LLC  (120casa),120-10  ,577,2,,,950,950,0,0,0,950,0,0,0,0
106,Casa Pasiva LLC  (120casa),120-11  ,497,2,,,981.14,208,0,0,0,208,0,0,0,0
107,Casa Pasiva LLC  (120casa),120-12  ,500,2,,,950,950,0,0,0,950,0,0,0,0
108,Casa Pasiva LLC  (120casa),120-12A ,567,2,Tax Credit,,354.05,354.05,0,0,0,354.05,0,0,354.05,0
109,Casa Pasiva LLC  (120casa),120-14  ,577,2,Tax Credit,,814.71,1462,0,0,0,1332,130,0,1462,0
110,Casa Pasiva LLC  (120casa),120-15  ,497,2,,,811.65,831.94,0,0,0,831.94,0,0,0,0
111,Casa Pasiva LLC  (120casa),120-16  ,500,2,,,656.78,822.17,0,0,0,822.17,0,0,0,0
112,116-120 Grove Street HDFC (120grove),116-01  ,0,1,,,650,0,0,0,0,0,59,0,0,0
113,116-120 Grove Street HDFC (120grove),116-02  ,0,1,,,850,0,0,0,0,0,59,0,0,0
114,116-120 Grove Street HDFC (120grove),116-03  ,0,2,,,1007.53,0,0,0,0,0,60,0,0,0
115,116-120 Grove Street HDFC (120grove),116-04  ,0,2,,,1003.18,0,0,0,0,0,60,0,0,0
116,116-120 Grove Street HDFC (120grove),116-05  ,0,2,,,1732,0,0,0,0,0,60,0,0,0
117,116-120 Grove Street HDFC (120grove),116-06  ,0,2,,,844.76,0,0,0,0,0,60,0,0,0
118,116-120 Grove Street HDFC (120grove),116-07  ,0,2,,,438.09,0,0,0,0,0,60,0,0,0
119,116-120 Grove Street HDFC (120grove),116-08  ,0,2,,,551.17,0,0,0,0,0,60,0,0,0
120,116-120 Grove Street HDFC (120grove),116-09  ,0,2,,,1012.61,0,0,0,0,0,60,0,0,0
121,116-120 Grove Street HDFC (120grove),116-10  ,0,2,,,969,0,0,0,0,0,60,0,0,0
122,116-120 Grove Street HDFC (120grove),116-11  ,0,2,,,738.29,0,0,0,0,0,60,0,0,0
123,116-120 Grove Street HDFC (120grove),116-12  ,0,2,,,1104.37,0,0,0,0,0,60,0,0,0
124,116-120 Grove Street HDFC (120grove),116-12A ,0,2,,,377,0,0,0,0,0,60,0,0,0
125,116-120 Grove Street HDFC (120grove),116-14  ,0,2,,,855.21,0,0,0,0,0,60,0,0,0
126,116-120 Grove Street HDFC (120grove),116-15  ,0,2,,,683.04,0,0,0,0,0,60,0,0,0
127,116-120 Grove Street HDFC (120grove),116-16  ,0,2,,,1119,0,0,0,0,0,60,0,0,0
128,116-120 Grove Street HDFC (120grove),120-01  ,0,1,,,943.62,0,0,0,0,0,59,0,0,0
129,116-120 Grove Street HDFC (120grove),120-02  ,0,1,,,780.46,0,0,0,0,0,59,0,0,0
130,116-120 Grove Street HDFC (120grove),120-03  ,0,2,,,797.25,0,0,0,0,0,0,0,0,0
131,116-120 Grove Street HDFC (120grove),120-04  ,0,2,,,1039.02,0,0,0,0,0,60,0,0,0
132,116-120 Grove Street HDFC (120grove),120-05  ,0,2,,,945.3,0,0,0,0,0,60,0,0,0
133,116-120 Grove Street HDFC (120grove),120-06  ,0,2,,,911.25,0,0,0,0,0,60,0,0,0
134,116-120 Grove Street HDFC (120grove),120-07  ,0,2,,,897.48,0,0,0,0,0,60,0,0,0
135,116-120 Grove Street HDFC (120grove),120-08  ,0,2,,,825.94,0,0,0,0,0,60,0,0,0
136,116-120 Grove Street HDFC (120grove),120-09  ,0,2,,,534.04,0,0,0,0,0,60,0,0,0
137,116-120 Grove Street HDFC (120grove),120-10  ,0,2,,,950,0,0,0,0,0,60,0,0,0
138,116-120 Grove Street HDFC (120grove),120-11  ,0,2,,,920.04,0,0,0,0,0,60,0,0,0
139,116-120 Grove Street HDFC (120grove),120-12  ,0,2,,,950,0,0,0,0,0,60,0,0,0
140,116-120 Grove Street HDFC (120grove),120-12A ,0,2,,,354.05,0,0,0,0,0,60,0,0,0
141,116-120 Grove Street HDFC (120grove),120-14  ,0,2,,,814.71,0,0,0,0,0,60,0,0,0
142,116-120 Grove Street HDFC (120grove),120-15  ,0,2,,,811.65,0,0,0,0,0,60,0,0,0
143,116-120 Grove Street HDFC (120grove),120-16  ,0,2,,,656.78,0,0,0,0,0,60,0,0,0
144,Riseboro TPX LLC (160bleek),160-1L  ,0,2,,,850,862.75,0,0,0,862.75,0,0,0,0
145,Riseboro TPX LLC (160bleek),160-1R  ,0,1,,,800,840.5,0,0,0,840.5,0,0,0,0
146,Riseboro TPX LLC (160bleek),160-2L  ,0,2,,,500,525.31,0,0,0,525.31,0,0,0,0
147,Riseboro TPX LLC (160bleek),160-2R  ,0,3,,,850,893.03,0,0,0,893.03,0,0,0,0
148,Riseboro TPX LLC (160bleek),160-3L  ,0,2,,,800,840.5,0,0,0,840.5,0,0,0,0
149,Riseboro TPX LLC (160bleek),160-3R  ,0,2,,,500,512.5,0,0,0,512.5,0,0,0,0
150,Brooklyn Queens Family Respite Inc (1919),A-1     ,0,2,,,1388.99,508,0,0,0,508,0,0,0,0
151,Brooklyn Queens Family Respite Inc (1919),A-2     ,0,2,,,1688.33,0,0,0,0,0,0,0,0,0
152,Riseboro TPX LLC (230moffa),230-1L  ,0,0,,,0,621.13,0,0,0,621.13,0,0,0,0
153,Riseboro TPX LLC (230moffa),230-1R  ,0,0,,,0,519.61,0,0,0,519.61,0,0,0,0
154,Riseboro TPX LLC (230moffa),230-2L  ,0,0,,,0,504.3,0,0,0,504.3,0,0,0,0
155,Riseboro TPX LLC (230moffa),230-2R  ,0,0,,,0,487.04,0,0,0,487.04,0,0,0,0
156,Riseboro TPX LLC (230moffa),230-3L  ,0,0,,,0,1363.5,0,0,0,1363.5,0,0,0,0
157,Riseboro TPX LLC (230moffa),230-3R  ,0,0,,,0,0,0,0,0,0,0,0,0,0
158,JOE RB Harman Street LLC. (251harma),1L      ,0,1,,,754.63,178,0,0,0,178,0,0,0,0
159,JOE RB Harman Street LLC. (251harma),1R      ,0,1,,,949.68,1032.88,0,0,0,1032.88,0,0,0,0
160,JOE RB Harman Street LLC. (251harma),2L      ,0,1,,,293.23,318.97,0,0,0,318.97,0,0,0,0
161,JOE RB Harman Street LLC. (251harma),2R      ,0,1,,,860.61,944.1,0,0,0,944.1,0,0,0,0
162,JOE RB Harman Street LLC. (251harma),3L      ,0,1,,,468.33,519.26,0,0,0,519.26,0,0,0,0
163,JOE RB Harman Street LLC. (251harma),3R      ,0,1,,,788.52,824.4,0,0,0,824.4,0,0,0,0
164,Riseboro TPX LLC (301harm),301-1L  ,0,0,,,0,662.95,0,0,0,662.95,0,0,0,0
165,Riseboro TPX LLC (301harm),301-1R  ,0,0,,,702.4,719.96,0,0,0,719.96,0,0,0,0
166,Riseboro TPX LLC (301harm),301-2L  ,0,0,,,720.13,756.58,0,0,0,756.58,0,0,0,0
167,Riseboro TPX LLC (301harm),301-2R  ,0,0,,,0,700.61,0,0,0,700.61,0,0,0,0
168,Riseboro TPX LLC (301harm),301-3L  ,0,0,,,0,867.9,0,0,0,867.9,0,0,0,0
169,Riseboro TPX LLC (301harm),301-3R  ,0,0,,,0,0,0,0,0,0,0,0,0,0
170,420 Stockholm Associates L.P. (420stock),1A      ,1000,1,Tax Credit,,918.62,1008.99,0,0,0,936.99,72,0,1008.99,0
171,420 Stockholm Associates L.P. (420stock),1B      ,1000,1,Tax Credit,,949.62,1003,0,0,0,931,72,0,1003,0
172,420 Stockholm Associates L.P. (420stock),1C      ,1600,2,Tax Credit,,931.88,1117.18,0,0,0,1024.18,93,0,1117.18,0
173,420 Stockholm Associates L.P. (420stock),1D      ,1000,1,Tax Credit,,621.52,909.63,0,0,649.63,188,72,0,260,0
174,420 Stockholm Associates L.P. (420stock),1E      ,1600,2,Tax Credit,,871.71,1006.59,0,0,0,913.59,93,0,1006.59,0
175,420 Stockholm Associates L.P. (420stock),1F      ,1000,1,Tax Credit,,762.19,926.42,0,0,0,854.42,72,0,926.42,0
176,420 Stockholm Associates L.P. (420stock),1G      ,1000,1,Tax Credit,,832.49,944.48,0,0,0,872.48,72,0,944.48,0
177,420 Stockholm Associates L.P. (420stock),1H      ,1600,2,Tax Credit,,909,1038.72,0,0,0,945.72,93,0,1038.72,0
178,420 Stockholm Associates L.P. (420stock),2B      ,1000,1,Tax Credit,,846.64,941.92,0,0,0,869.92,72,0,941.92,0
179,420 Stockholm Associates L.P. (420stock),2C      ,1600,2,Tax Credit,,987.98,1045.98,0,0,0,987.98,58,0,1045.98,0
180,420 Stockholm Associates L.P. (420stock),2D      ,1000,1,Tax Credit,,751.09,859.17,0,0,0,787.17,72,0,859.17,0
181,420 Stockholm Associates L.P. (420stock),2E      ,1000,1,Tax Credit,,740.07,859.91,0,0,0,787.91,72,0,859.91,0
182,420 Stockholm Associates L.P. (420stock),2F      ,1600,2,Tax Credit,,816,1007.75,0,0,0,914.75,93,0,1007.75,0
183,420 Stockholm Associates L.P. (420stock),2G      ,1000,1,Tax Credit,,877.54,984.99,0,0,0,912.99,72,0,984.99,0
184,420 Stockholm Associates L.P. (420stock),2H      ,1600,2,Tax Credit,,1045.58,1054.88,0,0,0,961.88,93,0,1054.88,0
185,420 Stockholm Associates L.P. (420stock),2I      ,1600,2,Tax Credit,,933.04,1070.86,0,0,0,977.86,93,0,1070.86,0
186,420 Stockholm Associates L.P. (420stock),3A      ,1600,2,Tax Credit,,886.04,1066.79,0,0,0,973.79,93,0,1066.79,0
187,420 Stockholm Associates L.P. (420stock),3B      ,1000,1,Tax Credit,,700.1,835.08,0,0,0,763.08,72,0,835.08,0
188,420 Stockholm Associates L.P. (420stock),3C      ,1000,2,Tax Credit,,1000.73,1100.73,0,0,0,1007.73,93,0,1100.73,0
189,420 Stockholm Associates L.P. (420stock),3D      ,1000,1,Tax Credit,,696.69,909.62,0,0,0,837.62,72,0,909.62,0
190,420 Stockholm Associates L.P. (420stock),3E      ,1000,1,Tax Credit,,691.83,899,0,0,0,842,57,0,899,0
191,420 Stockholm Associates L.P. (420stock),3F      ,1600,2,Tax Credit,,1163.3,1279.56,0,0,0,1186.56,93,0,1279.56,0
192,420 Stockholm Associates L.P. (420stock),3G      ,1000,1,Tax Credit,,747.2,909.62,0,0,0,837.62,72,0,909.62,0
193,420 Stockholm Associates L.P. (420stock),3H      ,1600,2,Tax Credit,,696.05,980.28,0,0,0,887.28,93,0,980.28,0
194,420 Stockholm Associates L.P. (420stock),3I      ,1600,2,Tax Credit,,871.7,1006.58,0,0,0,913.58,93,0,1006.58,0
195,420 Stockholm Associates L.P. (420stock),420-2A  ,1600,2,,,0,0,0,0,0,0,0,0,0,0
196,420 Stockholm Associates L.P. (420stock),4A      ,1600,2,Tax Credit,,898.97,956.53,0,0,0,863.53,93,0,956.53,0
197,420 Stockholm Associates L.P. (420stock),4B      ,1000,1,Tax Credit,,903.36,993.42,0,0,0,921.42,72,0,993.42,0
198,420 Stockholm Associates L.P. (420stock),4C      ,1600,2,Tax Credit,,1001.81,1114.84,0,0,0,1021.84,93,0,1114.84,0
199,420 Stockholm Associates L.P. (420stock),4D      ,1000,1,Tax Credit,,952.67,1024.67,0,0,0,952.67,72,0,1024.67,0
200,420 Stockholm Associates L.P. (420stock),4E      ,1000,1,Tax Credit,,613.49,716.4,0,0,0,644.4,72,0,716.4,0
201,420 Stockholm Associates L.P. (420stock),4F      ,1000,2,Tax Credit,,903.3,1085.76,0,0,0,992.76,93,0,1085.76,0
202,420 Stockholm Associates L.P. (420stock),4G      ,1000,1,Tax Credit,,932.87,1004.87,0,0,0,932.87,72,0,1004.87,0
203,420 Stockholm Associates L.P. (420stock),4H      ,1600,2,Tax Credit,,870.18,948.46,0,0,0,948.46,0,0,948.46,0
204,420 Stockholm Associates L.P. (420stock),4I      ,1600,2,Tax Credit,,852.03,1048.14,0,0,0,955.14,93,0,1048.14,0
205,50 Penn Housing Development Corporation  (50penn),2A      ,502,1,Tax Credit,,1491,1139,0,0,0,1043,96,0,1139,0
206,50 Penn Housing Development Corporation  (50penn),2AA     ,721,2,Tax Credit,,2413,2347,0,0,2048,169,130,0,299,0
207,50 Penn Housing Development Corporation  (50penn),2B      ,505,1,Tax Credit,,1491,1677,0,0,900,691,86,0,777,0
208,50 Penn Housing Development Corporation  (50penn),2BB     ,721,2,Tax Credit,,1777,1371,0,0,468,794,109,0,903,0
209,50 Penn Housing Development Corporation  (50penn),2CC     ,721,2,Tax Credit,,1142,922,0,0,0,792,130,0,922,0
210,50 Penn Housing Development Corporation  (50penn),2DD     ,356,0,Tax Credit,,1397,1348,0,0,1183,79,86,0,165,0
211,50 Penn Housing Development Corporation  (50penn),2E      ,396,0,Tax Credit,,655,354,0,0,0,354,0,0,354,0
212,50 Penn Housing Development Corporation  (50penn),2EE     ,357,0,Tax Credit,,1397,1348,0,0,1097,165,86,0,251,0
213,50 Penn Housing Development Corporation  (50penn),2FF     ,723,2,Tax Credit,,1777,1392,0,0,0,1262,130,0,1392,0
214,50 Penn Housing Development Corporation  (50penn),2FSUPER ,723,2,,,1732,0,0,0,0,0,0,0,0,0
215,50 Penn Housing Development Corporation  (50penn),2G      ,502,1,Tax Credit,,1226,946,0,0,0,848,98,0,946,0
216,50 Penn Housing Development Corporation  (50penn),2GG     ,502,1,,,696,456,0,0,0,456,0,0,0,0
217,50 Penn Housing Development Corporation  (50penn),2H      ,507,1,Tax Credit,,1226,946,0,0,0,848,98,0,946,0
218,50 Penn Housing Development Corporation  (50penn),2J      ,356,0,Tax Credit,,1397,2002,0,0,1353,563,86,0,649,0
219,50 Penn Housing Development Corporation  (50penn),2K      ,506,1,,,1491,689,0,0,0,689,98,0,0,0
220,50 Penn Housing Development Corporation  (50penn),2L      ,530,1,,,696,456,0,0,0,456,0,0,0,0
221,50 Penn Housing Development Corporation  (50penn),2M      ,365,0,Tax Credit,,1892,2002,0,0,1689,227,86,0,313,0
222,50 Penn Housing Development Corporation  (50penn),2N      ,363,0,Tax Credit,,1150,753,0,0,0,667,86,0,753,0
223,50 Penn Housing Development Corporation  (50penn),2P      ,363,0,Tax Credit,,655,2002,0,0,1787,129,86,0,215,0
224,50 Penn Housing Development Corporation  (50penn),2Q      ,950,3,Tax Credit,,940,799,0,0,0,637,162,0,799,0
225,50 Penn Housing Development Corporation  (50penn),2R      ,726,2,,,1459,1060.38,0,0,0,1060.38,0,0,0,0
226,50 Penn Housing Development Corporation  (50penn),2S      ,359,0,,,1397,364.35,0,0,0,364.35,0,0,0,0
227,50 Penn Housing Development Corporation  (50penn),2T      ,924,3,Tax Credit,,2041,1613,0,0,0,1451,162,0,1613,0
228,50 Penn Housing Development Corporation  (50penn),2U      ,503,1,,,1491,1043,0,0,0,1043,0,0,0,0
229,50 Penn Housing Development Corporation  (50penn),2V      ,985,3,Tax Credit,,1307,1070,0,0,0,908,162,0,1070,0
230,50 Penn Housing Development Corporation  (50penn),2W      ,504,1,,,2021,1435,0,0,0,1435,0,0,0,0
231,50 Penn Housing Development Corporation  (50penn),2X      ,595,1,Tax Credit,,1226,848,0,0,0,848,0,0,848,0
232,50 Penn Housing Development Corporation  (50penn),2Y      ,506,1,Tax Credit,,1491,1689,0,0,1443,148,98,0,246,0
233,50 Penn Housing Development Corporation  (50penn),2Z      ,504,1,,,2021,449,0,0,0,449,0,0,0,0
234,50 Penn Housing Development Corporation  (50penn),3A      ,502,1,Tax Credit,,2021,2120,0,0,1968,152,0,0,152,0
235,50 Penn Housing Development Corporation  (50penn),3AA     ,721,2,Tax Credit,,1777,1392,0,0,0,1262,130,0,1392,0
236,50 Penn Housing Development Corporation  (50penn),3B      ,505,1,,,1491,137,0,0,0,137,0,0,0,0
237,50 Penn Housing Development Corporation  (50penn),3BB     ,721,2,Tax Credit,,1142,890,0,0,0,792,98,0,890,0
238,50 Penn Housing Development Corporation  (50penn),3C      ,504,1,Tax Credit,,696,554,0,0,0,456,98,0,554,0
