Name,City,Country,IATA,ICAO,Latitude,Longitude
Atatürk International Airport,Istanbul,Turkey,ISL,LTBA,40.976898,28.8146
Balıkesir Merkez Airport,Balikesir,Turkey,BZI,LTBF,39.61930084,27.9260006
Bandırma Airport,Bandirma,Turkey,BDM,LTBG,40.31800079,27.97769928
Eskişehir Air Base,Eskisehir,Turkey,ESK,LTBI,39.78409958,30.58209991
Adnan Menderes International Airport,Izmir,Turkey,ADB,LTBJ,38.29240036,27.15699959
Gaziemir Airport,Izmir,Turkey,\N,LTBK,38.31909943,27.15940094
Çiğli Airport,Izmir,Turkey,IGL,LTBL,38.51300049,27.01009941
Isparta Airport,Isparta,Turkey,\N,LTBM,37.78512192,30.59001923
Kütahya Airport,Kutahya,Turkey,\N,LTBN,39.42670059,30.01689911
Yalova Airport,Yalova,Turkey,\N,LTBP,40.68439865,29.3757
Cengiz Topel Airport,Topel,Turkey,KCO,LTBQ,40.73500061,30.08329964
Dalaman International Airport,Dalaman,Turkey,DLM,LTBS,36.71310043,28.79249954
Akhisar Airport,Akhisar,Turkey,\N,LTBT,38.80889893,27.83390045
Imsık Airport,Bodrum,Turkey,BXN,LTBV,37.14009857,27.66970062
Samandıra Air Base,Istanbul,Turkey,\N,LTBX,40.99300003,29.21649933
Elazığ Airport,Elazig,Turkey,EZS,LTCA,38.60689926,39.29140091
Diyarbakir Airport,Diyabakir,Turkey,DIY,LTCC,37.89390183,40.20100021
Erzincan Airport,Erzincan,Turkey,ERC,LTCD,39.71020126,39.52700043
Erzurum International Airport,Erzurum,Turkey,ERZ,LTCE,39.95650101,41.17020035
Trabzon International Airport,Trabzon,Turkey,TZX,LTCG,40.99509811,39.78969955
Van Ferit Melen Airport,Van,Turkey,VAN,LTCI,38.46820068,43.33229828
Batman Airport,Batman,Turkey,BAL,LTCJ,37.92900085,41.11660004
Siirt Airport,Siirt,Turkey,SXZ,LTCL,37.97890091,41.8404007
Kaklıç Airport,Izmir,Turkey,\N,LTFA,38.51760101,26.97739983
Selçuk Efes Airport,Izmir,Turkey,\N,LTFB,37.95069885,27.32900047
Bălți International Airport,Saltsy,Moldova,BZY,LUBL,47.843056,27.777222
Chişinău International Airport,Chisinau,Moldova,KIV,LUKK,46.92770004,28.93099976
Ohrid St. Paul the Apostle Airport,Ohrid,Macedonia,OHD,LWOH,41.18,20.7423
Skopje Alexander the Great Airport,Skopje,Macedonia,SKP,LWSK,41.961601,21.621401
Gibraltar Airport,Gibraltar,Gibraltar,GIB,LXGB,36.15119934,-5.34965992
Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,LYBE,44.81840134,20.3090992
Nis Airport,Nis,Serbia,INI,LYNI,43.337299,21.853701
Podgorica Airport,Podgorica,Montenegro,TGD,LYPG,42.359402,19.2519
Priština International Airport,Pristina,Serbia,PRN,BKPR,42.5728,21.035801
Tivat Airport,Tivat,Montenegro,TIV,LYTV,42.40470123,18.72330093
Vršac International Airport,Vrsac,Serbia,\N,LYVR,45.1469,21.3099
M. R. Štefánik Airport,Bratislava,Slovakia,BTS,LZIB,48.17020035,17.21269989
Košice Airport,Kosice,Slovakia,KSC,LZKZ,48.6631012,21.24110031
Kuchyňa Air Base,Malacky,Slovakia,\N,LZMC,48.40200043,17.11840057
Piešťany Airport,Piestany,Slovakia,PZY,LZPP,48.62519836,17.82839966
Sliač Airport,Sliac,Slovakia,SLD,LZSL,48.63779831,19.13409996
Trenčín Airport,Trencin,Slovakia,\N,LZTN,48.86500168,17.99230003
Poprad-Tatry Airport,Poprad,Slovakia,TAT,LZTT,49.07360077,20.24110031
North Caicos Airport,North Caicos,Turks and Caicos Islands,NCA,MBNC,21.9175,-71.939598
Providenciales Airport,Providenciales,Turks and Caicos Islands,PLS,MBPV,21.77359962,-72.26589966
South Caicos Airport,South Caicos,Turks and Caicos Islands,XSC,MBSC,21.51569939,-71.52850342
Arroyo Barril Airport,Samana,Dominican Republic,\N,MDAB,19.19860077,-69.42980194
Maria Montez International Airport,Barahona,Dominican Republic,BRX,MDBH,18.25149918,-71.12039948
Cabo Rojo Airport,Cabo Rojo,Dominican Republic,CBJ,MDCR,17.92900085,-71.64479828
Casa De Campo International Airport,La Romana,Dominican Republic,LRM,MDLR,18.45070076,-68.91179657
Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ,MDPC,18.56739998,-68.36340332
Gregorio Luperon International Airport,Puerto Plata,Dominican Republic,POP,MDPP,19.75790024,-70.56999969
Las Américas International Airport,Santo Domingo,Dominican Republic,SDQ,MDSD,18.42970085,-69.66889954
San Isidro Air Base,San Isidoro,Dominican Republic,\N,MDSI,18.50370026,-69.76170349
Cibao International Airport,Santiago,Dominican Republic,STI,MDST,19.40609932,-70.60469818
Bananera Airport,Bananera,Guatemala,\N,MGBN,15.47350025,-88.83719635
Coban Airport,Coban,Guatemala,CBV,MGCB,15.46899986,-90.40670013
La Aurora Airport,Guatemala City,Guatemala,GUA,MGGT,14.5833,-90.527496
Retalhuleu Airport,Retalhuleu,Guatemala,RER,MGRT,14.52099991,-91.69730377
San José Airport,San Jose,Guatemala,GSJ,MGSJ,13.93620014,-90.83580017
Goloson International Airport,La Ceiba,Honduras,LCE,MHLC,15.7425,-86.852997
Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,SAP,MHLM,15.4526,-87.923599
La Laguna Airport,Guanaja,Honduras,GJA,MHNJ,16.4454,-85.906601
Juan Manuel Galvez International Airport,Roatan,Honduras,RTB,MHRO,16.316799,-86.523003
Tela Airport,Tela,Honduras,TEA,MHTE,15.7759,-87.4758
Toncontín International Airport,Tegucigalpa,Honduras,TGU,MHTG,14.06089973,-87.21720123
Trujillo Airport,Trujillo,Honduras,TJI,MHTJ,15.9268,-85.938202
Boscobel Aerodrome,Ocho Rios,Jamaica,OCJ,MKBS,18.4041996,-76.96900177
Norman Manley International Airport,Kingston,Jamaica,KIN,MKJP,17.93569946,-76.78749847
Sangster International Airport,Montego Bay,Jamaica,MBJ,MKJS,18.50370026,-77.91339874
Ken Jones Airport,Port Antonio,Jamaica,POT,MKKJ,18.19879913,-76.53450012
Tinson Pen Airport,Kingston,Jamaica,KTP,MKTP,17.98859978,-76.82379913
General Juan N Alvarez International Airport,Acapulco,Mexico,ACA,MMAA,16.75709915,-99.7539978
Del Norte International Airport,Monterrey,Mexico,NTR,MMAN,25.865601,-100.237
Jesús Terán Paredo International Airport,Aguascalientes,Mexico,AGU,MMAS,21.705601,-102.318001
Bahías de Huatulco International Airport,Huatulco,Mexico,HUX,MMBT,15.7753,-96.262604
General Mariano Matamoros Airport,Cuernavaca,Mexico,CVJ,MMCB,18.83480072,-99.26129913
Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,ACN,MMCC,29.332899,-101.098998
Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,CME,MMCE,18.65369987,-91.7990036
Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico,NCG,MMCG,30.3974,-107.875
Chilpancingo Airport,Chilpancingo,Mexico,\N,MMCH,17.574239,-99.515424
Bachigualato Federal International Airport,Culiacan,Mexico,CUL,MMCL,24.76449966,-107.4749985
Chetumal International Airport,Chetumal,Mexico,CTM,MMCM,18.50469971,-88.32679749
Ciudad Obregón International Airport,Ciudad Obregon,Mexico,CEN,MMCN,27.39259911,-109.8330002
Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico,CPE,MMCP,19.81679916,-90.50029755
Abraham González International Airport,Ciudad Juarez,Mexico,CJS,MMCS,31.63610077,-106.4290009
General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,CUU,MMCU,28.70289993,-105.9649963
General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM,MMCV,23.70330048,-98.95649719
Cozumel International Airport,Cozumel,Mexico,CZM,MMCZ,20.5223999,-86.92559814
General Guadalupe Victoria International Airport,Durango,Mexico,DGO,MMDO,24.12420082,-104.5279999
Amado Nervo National Airport,Tepic,Mexico,TPQ,MMEP,21.4195,-104.843002
Ensenada International Airport,Ensenada,Mexico,ESE,MMES,31.7953,-116.602997
Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,MMGL,20.52179909,-103.310997
General José María Yáñez International Airport,Guaymas,Mexico,GYM,MMGM,27.96899986,-110.9250031
Tehuacan Airport,Tehuacan,Mexico,TCN,MMHC,18.49720001,-97.41989899
General Ignacio P. Garcia International Airport,Hermosillo,Mexico,HMO,MMHO,29.09589958,-111.0479965
Licenciado Miguel de la Madrid Airport,Colima,Mexico,CLQ,MMIA,19.277,-103.577002
Isla Mujeres Airport,Isla Mujeres,Mexico,ISJ,MMIM,21.24500084,-86.73999786
Plan De Guadalupe International Airport,Saltillo,Mexico,SLW,MMIO,25.54949951,-100.9290009
Ixtepec Airport,Iztepec,Mexico,IZT,MMIT,16.449301,-95.093697
Lázaro Cárdenas Airport,Lazard Cardenas,Mexico,LZC,MMLC,18.00169945,-102.2210007
Valle del Fuerte International Airport,Los Mochis,Mexico,LMM,MMLM,25.68519974,-109.0810013
Del Bajío International Airport,Del Bajio,Mexico,BJX,MMLO,20.9935,-101.481003
Manuel Márquez de León International Airport,La Paz,Mexico,LAP,MMLP,24.0727005,-110.3619995
Loreto International Airport,Loreto,Mexico,LTO,MMLT,25.98920059,-111.3479996
General Servando Canales International Airport,Matamoros,Mexico,MAM,MMMA,25.76989937,-97.52529907
Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID,MMMD,20.93700027,-89.65769959
General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL,MMML,32.6306,-115.241997
General Francisco J. Mujica International Airport,Morelia,Mexico,MLM,MMMM,19.84989929,-101.0250015
Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT,MMMT,18.10339928,-94.58070374
Monclova International Airport,Monclova,Mexico,LOV,MMMV,26.9557,-101.470001
Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.4363,-99.072098
General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,25.7784996,-100.1070023
General Rafael Buelna International Airport,Mazatlan,Mexico,MZT,MMMZ,23.16139984,-106.2659988
Nogales International Airport,Nogales,Mexico,NOG,MMNG,31.22610092,-110.9759979
Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD,MMNL,27.44389915,-99.57050323
Xoxocotlán International Airport,Oaxaca,Mexico,OAX,MMOX,16.99990082,-96.72660065
El Tajín National Airport,Poza Rico,Mexico,PAZ,MMPA,20.60269928,-97.46080017
Hermanos Serdán International Airport,Puebla,Mexico,PBC,MMPB,19.15810013,-98.37139893
Ingeniero Juan Guillermo Villasana Airport,Pachuca,Mexico,\N,MMPC,20.0774,-98.782501
Mar de Cortés International Airport,Punta Penasco,Mexico,PPE,MMPE,31.351987,-113.305177
Piedras Negras International Airport,Piedras Negras,Mexico,PDS,MMPG,28.627399,-100.535004
Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,UPN,MMPN,19.39669991,-102.0390015
Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.68009949,-105.2539978
Puerto Escondido International Airport,Puerto Escondido,Mexico,PXM,MMPS,15.8769,-97.089103
Querétaro Intercontinental Airport,Queretaro,Mexico,QRO,MMQT,20.6173,-100.185997
General Lucio Blanco International Airport,Reynosa,Mexico,REX,MMRX,26.0089,-98.2285
Los Cabos International Airport,San Jose Del Cabo,Mexico,SJD,MMSD,23.15180016,-109.7210007
San Felipe International Airport,San Filipe,Mexico,SFH,MMSF,30.93020058,-114.8089981
Ponciano Arriaga International Airport,San Luis Potosi,Mexico,SLP,MMSP,22.25429916,-100.9309998
Tlaxcala Airport,Tlaxcala,Mexico,\N,MMTA,19.537992,-98.173492
Terán Air Base,Tuxtla Gutierrez,Mexico,\N,MMTB,16.739901,-93.173301
Francisco Sarabia International Airport,Torreon,Mexico,TRC,MMTC,25.56830025,-103.4110031
Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,TGZ,MMTG,16.56360054,-93.02249908
General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.54109955,-116.9700012
General Francisco Javier Mina International Airport,Tampico,Mexico,TAM,MMTM,22.29640007,-97.86589813
Tamuin Airport,Tamuin,Mexico,TSL,MMTN,22.0383,-98.806502
Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,TLC,MMTO,19.33709908,-99.56600189
Tapachula International Airport,Tapachula,Mexico,TAP,MMTP,14.79430008,-92.37000275
Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.03650093,-86.87709808
Carlos Rovirosa Pérez International Airport,Villahermosa,Mexico,VSA,MMVA,17.99699974,-92.81739807
General Heriberto Jara International Airport,Vera Cruz,Mexico,VER,MMVR,19.14590073,-96.18730164
General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,ZCL,MMZC,22.89710045,-102.6869965
Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico,ZIH,MMZH,17.60160065,-101.4609985
Zamora Airport,Zamora,Mexico,ZMM,MMZM,20.045,-102.276001
Playa De Oro International Airport,Manzanillo,Mexico,ZLO,MMZO,19.14480019,-104.5589981
Zapopan Airport,Zapopan,Mexico,\N,MMZP,20.747922,-103.461709
Bluefields Airport,Bluefields,Nicaragua,BEF,MNBL,11.99100018,-83.77410126
Los Brasiles Airport,Los Brasiles,Nicaragua,\N,MNBR,12.18999958,-86.35389709
Leon (Fanor Urroz) Airport,Leon,Nicaragua,\N,MNLN,12.42920017,-86.90280151
Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA,MNMG,12.14150047,-86.16819763
Puerto Cabezas Airport,Puerto Cabezas,Nicaragua,PUZ,MNPC,14.0472002,-83.38670349
Bocas Del Toro International Airport,Bocas Del Toro,Panama,BOC,MPBO,9.340849876,-82.25080109
Cap Manuel Niño International Airport,Changuinola,Panama,CHX,MPCH,9.458962,-82.515062
Enrique Malek International Airport,David,Panama,DAV,MPDA,8.390999794,-82.43499756
Panama Pacific International Airport,Howard,Panama,BLB,MPHO,8.91479,-79.599602
Marcos A. Gelabert International Airport,Panama,Panama,PAC,MPMG,8.973340034,-79.55560303
Ruben Cantu Airport,Santiago,Panama,SYP,MPSA,8.085599899,-80.94529724
Tocumen International Airport,Panama City,Panama,PTY,MPTO,9.071359634,-79.38349915
Buenos Aires Airport,Buenos Aires,Costa Rica,BAI,MRBA,9.163949,-83.330171
Coto 47 Airport,Coto 47,Costa Rica,OTR,MRCC,8.601559639,-82.96859741
Chacarita Airport,Chacarita,Costa Rica,JAP,MRCH,9.981410027,-84.77269745
El Carmen de Siquirres Airport,El Carmen,Costa Rica,\N,MREC,10.20199966,-83.47219849
Finca 10 / Nuevo Palmar Sur Airport,Finca 10,Costa Rica,\N,MRFI,8.916350365,-83.50730133
Golfito Airport,Golfito,Costa Rica,GLF,MRGF,8.654009819,-83.18219757
Guapiles Airport,Guapiles,Costa Rica,GPL,MRGP,10.21720028,-83.79699707
Daniel Oduber Quiros International Airport,Liberia,Costa Rica,LIR,MRLB,10.5933,-85.544403
Los Chiles Airport,Los Chiles,Costa Rica,LSL,MRLC,11.03530025,-84.70610046
Limon International Airport,Limon,Costa Rica,LIO,MRLM,9.957960129,-83.02200317
Nosara Airport,Nosara Beach,Costa Rica,NOB,MRNS,9.976490021,-85.65299988
Juan Santamaria International Airport,San Jose,Costa Rica,SJO,MROC,9.993860245,-84.20880127
Pandora Airport,Pandora,Costa Rica,\N,MRPD,9.732170105,-82.98320007
Palmar Sur Airport,Palmar Sur,Costa Rica,PMZ,MRPM,8.951029778,-83.46859741
Quepos Managua Airport,Quepos,Costa Rica,XQP,MRQP,9.443160057,-84.12979889
Santa Clara De Guapiles Airport,Santa Clara,Costa Rica,\N,MRSG,10.28829956,-83.71350098
San Vito De Java Airport,San Vito De Jaba,Costa Rica,TOO,MRSV,8.826109886,-82.95890045
Monseñor Óscar Arnulfo Romero International Airport,San Salvador,El Salvador,SAL,MSLP,13.4409,-89.055702
Ilopango International Airport,San Salvador,El Salvador,\N,MSSS,13.69950008,-89.11990356
Les Cayes Airport,Cayes,Haiti,CYA,MTCA,18.27109909,-73.78829956
Cap Haitien International Airport,Cap Haitien,Haiti,CAP,MTCH,19.733,-72.194702
Jacmel Airport,Jacmel,Haiti,JAK,MTJA,18.24110031,-72.51850128
Toussaint Louverture International Airport,Port-au-prince,Haiti,PAP,MTPP,18.57999992,-72.29250336
Gustavo Rizo Airport,Baracoa Playa,Cuba,BCA,MUBA,20.36529922,-74.5062027
Carlos Manuel de Cespedes Airport,Bayamo,Cuba,BYM,MUBY,20.39640045,-76.62139893
Maximo Gomez Airport,Ciego De Avila,Cuba,AVI,MUCA,22.02709961,-78.78959656
Jardines Del Rey Airport,Cunagua,Cuba,CCC,MUCC,22.46100044,-78.32839966
Jaime Gonzalez Airport,Cienfuegos,Cuba,CFG,MUCF,22.14999962,-80.41419983
Vilo Acuña International Airport,Cayo Largo del Sur,Cuba,CYO,MUCL,21.61650085,-81.54599762
Ignacio Agramonte International Airport,Camaguey,Cuba,CMW,MUCM,21.42029953,-77.84750366
Antonio Maceo International Airport,Santiago De Cuba,Cuba,SCU,MUCU,19.96980095,-75.83540344
Florida Airport,Florida,Cuba,\N,MUFL,21.49970055,-78.20279694
Leeward Point Field,Guantanamo,Cuba,NBW,MUGM,19.90649986,-75.20709991
Mariana Grajales Airport,Guantanamo,Cuba,GAO,MUGT,20.08530045,-75.15830231
José Martí International Airport,Havana,Cuba,HAV,MUHA,22.98920059,-82.40910339
Frank Pais International Airport,Holguin,Cuba,HOG,MUHG,20.78560066,-76.31510162
La Coloma Airport,La Coloma,Cuba,LCL,MULM,22.33609962,-83.64189911
Orestes Acosta Airport,Moa,Cuba,MOA,MUMO,20.65390015,-74.92220306
Sierra Maestra Airport,Manzanillo,Cuba,MZO,MUMZ,20.28809929,-77.08920288
Rafael Cabrera Airport,Nueva Gerona,Cuba,GER,MUNG,21.83469963,-82.78379822
Playa Baracoa Airport,Baracoa Playa,Cuba,UPB,MUPB,23.03280067,-82.57939911
Pinar Del Rio Airport,Pinar Del Rio Norte,Cuba,QPD,MUPR,22.42140007,-83.67839813
San Antonio De Los Banos Airport,San Antonio De Banos,Cuba,\N,MUSA,22.87150002,-82.50930023
Abel Santamaria Airport,Santa Clara,Cuba,SNU,MUSC,22.49220085,-79.94360352
Joaquín de Agüero Airport,Santa Lucia,Cuba,\N,MUSL,21.50945591,-77.02059746
Siguanea Airport,Siguanea,Cuba,SZJ,MUSN,21.64249992,-82.95510101
Sancti Spiritus Airport,Sancti Spiritus,Cuba,USS,MUSS,21.9704,-79.442703
Juan Gualberto Gomez International Airport,Varadero,Cuba,VRA,MUVR,23.03440094,-81.43530273
Hermanos Ameijeiras Airport,Las Tunas,Cuba,VTU,MUVT,20.98760033,-76.93579865
Gerrard Smith International Airport,Cayman Brac,Cayman Islands,CYB,MWCB,19.68700027,-79.88279724
Owen Roberts International Airport,Georgetown,Cayman Islands,GCM,MWCR,19.2928009,-81.35769653
Clarence A. Bain Airport,Clarence Bain,Bahamas,MAY,MYAB,24.28770065,-77.68460083
Andros Town Airport,Andros Town,Bahamas,ASD,MYAF,24.69790077,-77.79560089
Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MHH,MYAM,26.5114,-77.083503
San Andros Airport,San Andros,Bahamas,SAQ,MYAN,25.05380058,-78.0490036
Spring Point Airport,Spring Point,Bahamas,AXP,MYAP,22.44179916,-73.97090149
Sandy Point Airport,Sandy Point,Bahamas,\N,MYAS,26.00460052,-77.39550018
Treasure Cay Airport,Treasure Cay,Bahamas,TCB,MYAT,26.74530029,-77.39129639
Chub Cay Airport,Chub Cay,Bahamas,CCZ,MYBC,25.41710091,-77.88089752
Great Harbour Cay Airport,Bullocks Harbour,Bahamas,GHC,MYBG,25.7383,-77.840103
South Bimini Airport,Alice Town,Bahamas,BIM,MYBS,25.69989967,-79.26470184
Exuma International Airport,Great Exuma,Bahamas,GGT,MYEF,23.56259918,-75.87799835
George Town Airport,George Town,Bahamas,\N,MYEG,23.4666996,-75.78170013
North Eleuthera Airport,North Eleuthera,Bahamas,ELH,MYEH,25.47489929,-76.6835022
Governor's Harbour Airport,Governor's Harbor,Bahamas,GHB,MYEM,25.28470039,-76.33100128
Normans Cay Airport,Norman's Cay,Bahamas,NMC,MYEN,24.59429932,-76.82019806
Rock Sound Airport,Rock Sound,Bahamas,RSD,MYER,24.89507873,-76.17688179
Staniel Cay Airport,Staniel Cay,Bahamas,TYM,MYES,24.16909981,-76.43910217
Grand Bahama International Airport,Freeport,Bahamas,FPO,MYGF,26.55870056,-78.69560242
Inagua Airport,Matthew Town,Bahamas,IGA,MYIG,20.97500038,-73.66690063
Deadman's Cay Airport,Dead Man's Cay,Bahamas,LGI,MYLD,23.17900085,-75.09359741
Stella Maris Airport,Stella Maris,Bahamas,SML,MYLS,23.582317,-75.268621
Mayaguana Airport,Mayaguana,Bahamas,MYG,MYMM,22.379499,-73.013494
Lynden Pindling International Airport,Nassau,Bahamas,NAS,MYNN,25.03899956,-77.46620178
Duncan Town Airport,Duncan Town,Bahamas,DCT,MYRD,22.18180084,-75.72949982
Rum Cay Airport,Port Nelson,Bahamas,RCY,MYRP,23.68440056,-74.8361969
San Salvador Airport,Cockburn Town,Bahamas,ZSA,MYSM,24.06329918,-74.52400208
Philip S. W. Goldson International Airport,Belize City,Belize,BZE,MZBZ,17.53910065,-88.30819702
Aitutaki Airport,Aitutaki,Cook Islands,AIT,NCAI,-18.83090019,-159.7640076
Rarotonga International Airport,Avarua,Cook Islands,RAR,NCRG,-21.20269966,-159.8059998
Nadi International Airport,Nandi,Fiji,NAN,NFFN,-17.7553997,177.4429932
Nausori International Airport,Nausori,Fiji,SUV,NFNA,-18.04330063,178.5590057
Fua'amotu International Airport,Tongatapu,Tonga,TBU,NFTF,-21.24119949,-175.1499939
Vava'u International Airport,Vava'u,Tonga,VAV,NFTV,-18.58530045,-173.9620056
Bonriki International Airport,Tarawa,Kiribati,TRW,NGTA,1.381639957,173.1470032
Tabiteuea North Airport,Tabiteuea North,Kiribati,TBF,NGTE,-1.224470019,174.776001
Hihifo Airport,Wallis,Wallis and Futuna,WLS,NLWW,-13.23830032,-176.1990051
Faleolo International Airport,Faleolo,Samoa,APW,NSFA,-13.82999992,-172.0079956
Pago Pago International Airport,Pago Pago,American Samoa,PPG,NSTU,-14.33100033,-170.7100067
Rurutu Airport,Rurutu,French Polynesia,RUR,NTAR,-22.4340992,-151.3609924
Tubuai Airport,Tubuai,French Polynesia,TUB,NTAT,-23.36540031,-149.5240021
Anaa Airport,Anaa,French Polynesia,AAA,NTGA,-17.3526001,-145.5099945
Fangatau Airport,Fangatau,French Polynesia,FGU,NTGB,-15.81989956,-140.8869934
Tikehau Airport,Tikehau,French Polynesia,TIH,NTGC,-15.1196003,-148.2310028
Reao Airport,Reao,French Polynesia,REA,NTGE,-18.46590042,-136.4400024
Fakarava Airport,Fakarava,French Polynesia,FAV,NTGF,-16.05410004,-145.6569977
Manihi Airport,Manihi,French Polynesia,XMH,NTGI,-14.4368,-146.0700073
Totegegie Airport,Totegegie,French Polynesia,GMR,NTGJ,-23.07990074,-134.8899994
Kaukura Airport,Kaukura Atoll,French Polynesia,KKR,NTGK,-15.66329956,-146.8849945
Makemo Airport,Makemo,French Polynesia,MKP,NTGM,-16.58390045,-143.6580048
Puka Puka Airport,Puka Puka,French Polynesia,PKP,NTGP,-14.80949974,-138.8130035
Takapoto Airport,Takapoto,French Polynesia,TKP,NTGT,-14.70950031,-145.2460022
Arutua Airport,Arutua,French Polynesia,AXR,NTGU,-15.2482996,-146.6170044
Mataiva Airport,Mataiva,French Polynesia,MVT,NTGV,-14.86810017,-148.7169952
Takaroa Airport,Takaroa,French Polynesia,TKX,NTKR,-14.45580006,-145.0249939
Nuku Hiva Airport,Nuku Hiva,French Polynesia,NHV,NTMD,-8.795599937,-140.2290039
Bora Bora Airport,Bora Bora,French Polynesia,BOB,NTTB,-16.44440079,-151.7510071
Rangiroa Airport,Rangiroa,French Polynesia,RGI,NTTG,-14.95429993,-147.6609955
Huahine-Fare Airport,Huahine Island,French Polynesia,HUH,NTTH,-16.68720055,-151.0220032
Moorea Airport,Moorea,French Polynesia,MOZ,NTTM,-17.49,-149.761993
Hao Airport,Hao Island,French Polynesia,HOI,NTTO,-18.07480049,-140.9459991
Maupiti Airport,Maupiti,French Polynesia,MAU,NTTP,-16.42650032,-152.2440033
Raiatea Airport,Raiatea Island,French Polynesia,RFP,NTTR,-16.7229,-151.466003
Bauerfield International Airport,Port-vila,Vanuatu,VLI,NVVV,-17.69930077,168.3200073
Koné Airport,Kone,New Caledonia,KNQ,NWWD,-21.05430031,164.8370056
Koumac Airport,Koumac,New Caledonia,KOC,NWWK,-20.54630089,164.2559967
Lifou Airport,Lifou,New Caledonia,LIF,NWWL,-20.77479935,167.2400055
Nouméa Magenta Airport,Noumea,New Caledonia,GEA,NWWM,-22.25830078,166.4730072
Maré Airport,Mare,New Caledonia,MEE,NWWR,-21.4817009,168.0379944
Touho Airport,Touho,New Caledonia,TOU,NWWU,-20.79000092,165.2590027
Ouvéa Airport,Ouvea,New Caledonia,UVE,NWWV,-20.6406002,166.572998
La Tontouta International Airport,Noumea,New Caledonia,NOU,NWWW,-22.01460075,166.2129974
Auckland International Airport,Auckland,New Zealand,AKL,NZAA,-37.0080986,174.7920074
Taupo Airport,Taupo,New Zealand,TUO,NZAP,-38.73970032,176.0839996
Ardmore Airport,Ardmore,New Zealand,AMZ,NZAR,-37.02970123,174.9730072
Christchurch International Airport,Christchurch,New Zealand,CHC,NZCH,-43.48939896,172.5319977
Chatham Islands-Tuuta Airport,Chatham Island,New Zealand,CHT,NZCI,-43.81000137,-176.4570007
Dunedin Airport,Dunedin,New Zealand,DUD,NZDN,-45.92810059,170.197998
Gisborne Airport,Gisborne,New Zealand,GIS,NZGS,-38.66329956,177.9779968
Glentanner Airport,Glentanner,New Zealand,GTN,NZGT,-43.90670013,170.128006
Hokitika Airfield,Hokitika,New Zealand,HKK,NZHK,-42.71360016,170.9850006
Hamilton International Airport,Hamilton,New Zealand,HLZ,NZHN,-37.86669922,175.3320007
Hastings Aerodrome,Hastings,New Zealand,\N,NZHS,-39.646702,176.766998
Kerikeri Airport,Kerikeri,New Zealand,KKE,NZKK,-35.26279831,173.9120026
Kaitaia Airport,Kaitaia,New Zealand,KAT,NZKT,-35.06999969,173.2850037
Alexandra Airport,Alexandra,New Zealand,ALR,NZLX,-45.21170044,169.3730011
Mount Cook Airport,Mount Cook,New Zealand,MON,NZMC,-43.76499939,170.1329956
Manapouri Airport,Manapouri,New Zealand,TEU,NZMO,-45.53310013,167.6499939
Hood Airport,Masterton,New Zealand,MRO,NZMS,-40.97330093,175.6340027
New Plymouth Airport,New Plymouth,New Zealand,NPL,NZNP,-39.00859833,174.1790009
Nelson Airport,Nelson,New Zealand,NSN,NZNS,-41.2983017,173.220993
Invercargill Airport,Invercargill,New Zealand,IVC,NZNV,-46.41239929,168.3130035
RNZAF Base Ohakea,Ohakea,New Zealand,OHA,NZOH,-40.20600128,175.3880005
Oamaru Airport,Oamaru,New Zealand,OAM,NZOU,-44.97000122,171.0820007
Palmerston North Airport,Palmerston North,New Zealand,PMR,NZPM,-40.3205986,175.6170044
Paraparaumu Airport,Paraparaumu,New Zealand,PPQ,NZPP,-40.90470123,174.9889984
Queenstown International Airport,Queenstown International,New Zealand,ZQN,NZQN,-45.02109909,168.7389984
Rotorua Regional Airport,Rotorua,New Zealand,ROT,NZRO,-38.10919952,176.3170013
